Name of State / UT,Active Cases,Cured/Discharged/Migrated,Deceased,Total Confirmed Cases,Date,Latitude,Longitude
Andaman and Nicobar Islands,64,92,0,156,2020-07-11,11.7401,92.6586
Andhra Pradesh,11936,13194,292,25422,2020-07-11,15.9129,79.74
Arunachal Pradesh,213,120,2,335,2020-07-11,28.218,94.7278
Assam,5426,9147,27,14600,2020-07-11,26.2006,92.9376
Bihar,4347,10109,119,14575,2020-07-11,25.0961,85.3131
Chandigarh,124,408,7,539,2020-07-11,30.7333,76.7794
Chhattisgarh,722,3028,17,3767,2020-07-11,21.2787,81.8661
Dadra and Nagar Haveli and Daman and Diu,248,211,0,459,2020-07-11,20.1809,73.0169
Delhi,21146,84694,3300,109140,2020-07-11,28.7041,77.1025
Goa,895,1347,9,2251,2020-07-11,15.2993,74.124
Gujarat,9900,28147,2022,40069,2020-07-11,22.2587,71.1924
Haryana,4740,14904,290,19934,2020-07-11,29.0588,76.0856
Himachal Pradesh,277,883,11,1171,2020-07-11,31.1048,77.1734
Jammu and Kashmir,3943,5786,159,9888,2020-07-11,33.7782,76.5762
Jharkhand,1172,2224,23,3419,2020-07-11,23.6102,85.2799
Karnataka,19039,13836,543,33418,2020-07-11,15.3173,75.7139
Kerala,3103,3820,27,6950,2020-07-11,10.8505,76.2711
Ladakh,146,917,1,1064,2020-07-11,34.2996,78.2932
Madhya Pradesh,3538,12481,638,16657,2020-07-11,22.9734,78.6569
Maharashtra,95943,132625,9893,238461,2020-07-11,19.7515,75.7139
Manipur,750,832,0,1582,2020-07-11,24.6637,93.9063
Meghalaya,139,66,2,207,2020-07-11,25.467,91.3662
Mizoram,83,143,0,226,2020-07-11,23.1645,92.9376
Nagaland,428,304,0,732,2020-07-11,,
Odisha,3928,7972,56,11956,2020-07-11,20.9517,85.0985
Puducherry,618,637,17,1272,2020-07-11,11.9416,79.8083
Punjab,2153,5017,187,7357,2020-07-11,31.1471,75.3412
Rajasthan,5057,17620,497,23174,2020-07-11,27.0238,74.2179
Sikkim,54,80,0,134,2020-07-11,27.533,88.5122
Tamil Nadu,46108,82324,1829,130261,2020-07-11,11.1271,78.6569
Telangana,12680,19205,339,32224,2020-07-11,18.1124,79.0193
Tripura,545,1372,1,1918,2020-07-11,23.9408,91.9882
Uttarakhand,621,2706,46,3373,2020-07-11,30.0668,79.0193
Uttar Pradesh,11024,21787,889,33700,2020-07-11,26.8467,80.9462
West Bengal,8881,17348,880,27109,2020-07-11,22.9868,87.855
