name of state / ut,active cases,cured/discharged/migrated,deceased,total confirmed cases,date,latitude,longitude,mortality_rate,recovery_rate
Andaman and Nicobar Islands,70,93,0,163,2020-07-12,11.7401,92.6586,0.0,0.5705521472392638
Andhra Pradesh,12533,14393,309,27235,2020-07-12,15.9129,79.74,0.011345694877914448,0.5284743895722416
Arunachal Pradesh,214,125,2,341,2020-07-12,28.218,94.7278,0.005865102639296188,0.36656891495601174
Assam,6351,9150,35,15536,2020-07-12,26.2006,92.9376,0.002252832131822863,0.5889546858908342
Bihar,4557,10685,131,15373,2020-07-12,25.0961,85.3131,0.008521433682430234,0.6950497625707409
Chandigarh,135,413,7,555,2020-07-12,30.7333,76.7794,0.012612612612612612,0.7441441441441441
Chhattisgarh,810,3070,17,3897,2020-07-12,21.2787,81.8661,0.0043623299974339235,0.787785476007185
Dadra and Nagar Haveli and Daman and Diu,245,226,0,471,2020-07-12,20.1809,73.0169,0.0,0.47983014861995754
Delhi,19895,87692,3334,110921,2020-07-12,28.7041,77.1025,0.030057428259752435,0.7905806835495532
Goa,928,1428,12,2368,2020-07-12,15.2993,74.124,0.005067567567567568,0.6030405405405406
Gujarat,10260,28649,2032,40941,2020-07-12,22.2587,71.1924,0.04963239784079529,0.6997630736914096
Haryana,4891,15394,297,20582,2020-07-12,29.0588,76.0856,0.014430084539889223,0.7479350889126422
Himachal Pradesh,263,908,11,1182,2020-07-12,31.1048,77.1734,0.009306260575296108,0.7681895093062606
Jammu and Kashmir,4092,5895,169,10156,2020-07-12,33.7782,76.5762,0.01664040961008271,0.5804450571090981
Jharkhand,1347,2243,23,3613,2020-07-12,23.6102,85.2799,0.006365900913368392,0.6208137282037088
Karnataka,20887,14716,613,36216,2020-07-12,15.3173,75.7139,0.01692622045504749,0.4063397393417274
Kerala,3446,3963,29,7438,2020-07-12,10.8505,76.2711,0.0038988975531056734,0.5328045173433719
Ladakh,148,928,1,1077,2020-07-12,34.2996,78.2932,0.0009285051067780873,0.861652739090065
Madhya Pradesh,3878,12679,644,17201,2020-07-12,22.9734,78.6569,0.037439683739317484,0.7371083076565316
Maharashtra,99499,136985,10116,246600,2020-07-12,19.7515,75.7139,0.04102189781021898,0.5554947283049473
Manipur,750,843,0,1593,2020-07-12,24.6637,93.9063,0.0,0.5291902071563088
Meghalaya,139,66,2,207,2020-07-12,25.467,91.3662,0.00966183574879227,0.3188405797101449
Mizoram,77,150,0,227,2020-07-12,23.1645,92.9376,0.0,0.6607929515418502
Nagaland,435,313,0,748,2020-07-12,26.1584,94.5624,0.0,0.4184491978609626
Odisha,4105,8360,61,12526,2020-07-12,20.9517,85.0985,0.0048698706690084624,0.6674117834903401
Puducherry,629,690,18,1337,2020-07-12,11.9416,79.8083,0.013462976813762155,0.5160807778608826
Punjab,2352,5040,195,7587,2020-07-12,31.1471,75.3412,0.025701858442071967,0.66429418742586
Rajasthan,5376,17869,503,23748,2020-07-12,27.0238,74.2179,0.02118073100892707,0.7524423109314469
Sikkim,71,80,0,151,2020-07-12,27.533,88.5122,0.0,0.5298013245033113
Tamil Nadu,46413,85915,1898,134226,2020-07-12,11.1271,78.6569,0.014140330487386945,0.6400771832580872
Telangana,12135,20919,348,33402,2020-07-12,18.1124,79.0193,0.010418537812107059,0.6262798634812287
Tripura,572,1375,2,1949,2020-07-12,23.9408,91.9882,0.001026167265264238,0.7054899948691636
Uttarakhand,653,2718,46,3417,2020-07-12,30.0668,79.0193,0.013462101258413814,0.7954345917471466
Uttar Pradesh,11490,22689,913,35092,2020-07-12,26.8467,80.9462,0.02601732588624188,0.6465576199703637
West Bengal,9588,17959,906,28453,2020-07-12,22.9868,87.855,0.03184198502794081,0.6311812462657717
